startYear	YearMinMax	overviewNLP	genres1	leading_role	second_role	third_role	leading_director	production_companies_name_hash_0	directors_hash_1	Title	genres_hash_0	genres_hash_1	genres_hash_2
2007	22.938053097345072	jesse aarons trained summer become fastest runner school 's upset newcomer leslie burke outruns everyone else despite differences including 's rich 's poor 's city girl 's country boy two become fast friends together create terabithia land monsters trolls ogres giants rule king queen	Drama	Josh Hutcherson	AnnaSophia Robb	Zooey Deschanel	Gabor Csupo	-1.0	-1.0	Le Secret de Térabithia	0.0	0.0	0.0
2011	23.89380530973448	elder - care facility geriatric con artist tries prevent new friend early alzheimer 's symptoms transferred ' lost causes ' floor	Animation	Tacho González	Álvaro Guevara	Mabel Rivera	Ignacio Ferreras	1.0	0.0	La tête en l'air	0.0	0.0	0.0
1951	9.557522123893772	director jean renoir entrancing first color feature — shot entirely location india — is visual tour de force based novel rumer godden film eloquently contrasts growing pains three young women immutability bengal river around daily lives unfold enriched renoir subtle understanding appreciation india people river gracefully explores fragile connections transitory emotions everlasting creation	Drama	Patricia Walters	Nora Swinburne	Esmond Knight	Jean Renoir	0.0	0.0	Le fleuve	0.0	0.0	0.0
1990	18.87610619469024	beautiful american emily o'hara offers city hunter ryo saeba & kaori makimura one million dollars protect man named douglas ryo & kaori take job things quite seem real target might ryo 's unclear wants saeba dead	Action	Akira Kamiya	Kazue Ikura	Yôko Asagami	Kenji Kodama	0.0	0.0	City Hunter - Special 3 : Complot pour 1 million de $	0.0	1.0	0.0
1998	20.787610619468957	young teen girl xiu xiu sent away remote corner sichuan steppes manual labor 1975 sending young people part cultural revolution china year later agrees go even remote spot tibetan saddle tramp lao jin learn horse herding	Drama	Xiaolu Li	Lopsang	Zheng Qian	Joan Chen	0.0	0.0	Xiu Xiu	0.0	0.0	0.0
2003	21.982300884955666	story two russian boys whose father suddenly returns home 12 - year absence takes boys holiday remote island lake turns test manhood almost mythic proportions	Drama	Vladimir Garin	Ivan Dobronravov	Konstantin Lavronenko	Andrey Zvyagintsev	0.0	0.0	Le retour	0.0	0.0	0.0
1959	11.469026548672488	set burma campaign world war 2 story courage endurance soldiers struggling close quarters enemy film examines moral dilemmas ordinary men face war definitions acceptable military action insupportable brutality become blurred distorted	Drama	Stanley Baker	Guy Rolfe	Leo McKern	Val Guest	0.0	0.0	Section d'assaut sur le Sittang	0.0	0.0	0.0
2007	22.938053097345072	ruthless silver miner turned oil prospector daniel plainview moves oil - rich california using son project trustworthy family - man image plainview cons local landowners selling valuable properties pittance however local preacher eli sunday suspects plainview 's motives intentions starting slow - burning feud threatens lives	Drama	Daniel Day-Lewis	Paul Dano	Ciarán Hinds	Paul Thomas Anderson	0.0	0.0	There Will Be Blood	0.0	0.0	0.0
1983	17.20353982300883	fictional documentary life human chameleon leonard zelig man becomes celebrity 1920s due ability look act like whoever around clever editing places zelig real newsreel footage woodrow wilson babe ruth others	Comedy	Woody Allen	Mia Farrow	Patrick Horgan	Woody Allen	0.0	-1.0	Zelig	0.0	0.0	0.0
1949	9.079646017699066	three sailors wreak havoc search love whirlwind 24 - hour leave new york city	Comedy	Gene Kelly	Frank Sinatra	Betty Garrett	Stanley Donen	-1.0	0.0	Un jour à New-York	0.0	0.0	0.0
2007	22.938053097345072	hundreds years ago lapland little boy named nikolas loses family accident villagers decide look orphaned boy together year christmas nikolas moves new home show gratitude nikolas decides make toys children families good - bye presents years nikolas 's former adoptive families become many soon almost every house presents doorstep christmas morning thirteen nikolas sent live work iisakki grumpy old carpenter forbids nikolas continue making presents christmas gradually however nikolas wins iisakki 's trust together begin look christmas traditional nikolas begun aged iisakki leave nikolas move away tradition christmas presents risk thankfully nikolas comes solution brings children joy every christmas even continuing today	Drama	Hannu-Pekka Björkman	Otto Gustavsson	Jonas Rinne	Juha Wuolijoki	0.0	-1.0	Christmas Story : La Véritable Histoire du père Noël	0.0	0.0	0.0
1978	16.00884955752212	small forest town trying promote place tourists come enjoy therapeutic hot springs unspoiled nature dr . stockmann however makes inconvenient discovery nature around village unspoiled fact runoff local tanning mill contaminated water dangerous degree town fathers argue cleaning mess would far expensive publicity would destroy town 's reputation therefore news pollution suppressed dr . stockmann decides fight get word people receives mixed reaction	Drama	Steve McQueen	Bibi Andersson	Charles Durning	George Schaefer	0.0	0.0	Un ennemi du peuple	0.0	0.0	0.0
2018	25.56637168141589	mermer family managing restaurant called “ anatolian flavors ” haydarpasa train station generations consist 8 members even though family leads quiet simple life end finding complicated situations moreover family keeping secret long time come cost ..	Action	Ahmet Mümtaz Taylan	Alper Kul	Sarp Apak	Ali Atay	1.0	0.0	Ölümlü Dünya	0.0	0.0	0.0
1992	19.353982300884944	upscale japanese hotel hires mahiru inoue lawyer adept dealing yakuza help rid hotel local gangsters get contract meeting important foreign officials	Comedy	Nobuko Miyamoto	Yasuo Daichi	Takehiro Murata	Jûzô Itami	0.0	-1.0	L'avocate	0.0	1.0	0.0
1929	4.300884955752133	soldier returns kyiv surviving train crash encounters clashes nationalists collectivists	Drama	Semyon Svashenko	Georgi Khorkov	Amvrosi Buchma	Aleksandr Dovzhenko	0.0	0.0	Arsenal	0.0	0.0	0.0
1991	19.115044247787544	jimmy rabbitte tick school gets brilliant idea put soul band together barrytown slum home north dublin first needs musicians singers things slowly start click finds three fine - voiced females virtually back yard lead singer deco wedding responding ad aging trumpet player joey ` ` lips '' fagan	Comedy	Robert Arkins	Michael Aherne	Angeline Ball	Alan Parker	0.0	0.0	Les Commitments	0.0	0.0	0.0
2020	26.0442477876106	trans girl mother move new town order start fresh quickly face dilemmas local high school needs second parental signature enrollment	Drama	Thiessa Woinbackk	Guta Stresser	Rômulo Braga	Cássio Pereira dos Santos	0.0	0.0	Valentina	0.0	0.0	0.0
1991	19.115044247787544	estranged 15 years flamboyant actress becky del paramo re - enters daughter rebeca 's life comes perform concert rebeca finds married one becky 's ex - lovers manuel mother daughter begin making lost time suddenly murder occurs ...	Comedy	Victoria Abril	Marisa Paredes	Miguel Bosé	Pedro Almodóvar	1.0	0.0	Talons aiguilles	0.0	0.0	0.0
1986	17.920353982300835	alexander journalist philosopher retired actor celebrates birthday friends family announced nuclear war begun	Drama	Erland Josephson	Susan Fleetwood	Allan Edwall	Andrei Tarkovsky	0.0	0.0	Le Sacrifice	0.0	0.0	0.0
1992	19.353982300884944	films methods nicolas philibert maker etre et avoir shown one contemporary cinema acclaimed documentarists land deaf elegantly spare thoughtful portrait rich diverse often isolated culture deaf community film tremendous power value educates transports us another way occupying world pleasurable unrushed intelligent fashion	Documentary	Jean-Claude Poulain	Abou Bakar	Anh Tuan	Nicolas Philibert	0.0	0.0	Le pays des sourds	0.0	0.0	-1.0
2010	23.654867256637175	single mother learns terminal cancer prepares young daughter live without saying goodbye others around	Drama	Song Yun-ah	Kim Hyang-gi	Kim Myoung-guk	Kwon Hyeong-jin	0.0	0.0	We-ding-deu-re-seu	0.0	0.0	0.0
1939	6.690265486725648	try solving strange disappearances 11 young parisian women police obtain services adrienne charpentier friend latest missing person	Crime	Maurice Chevalier	Pierre Renoir	Marie Déa	Robert Siodmak	0.0	0.0	Pièges	0.0	1.0	0.0
1962	12.18584070796459	american paris lives sponging working friends throws party using borrowed money rich american aunt dies believing firmly horoscope	Drama	Jess Hahn	Michèle Girardon	Van Doude	Éric Rohmer	0.0	0.0	Le signe du lion	0.0	0.0	0.0
1990	18.87610619469024	iron silk 1990 movie based eponymous book american writer mark salzman details journey china college study chinese wu shu better known west kung fu teach english though trained actor salzman starred pan qingfu claimed one else could portray film salzman 's experiences occurred changsha hunan though film shot hangzhou zhejiang wikipedia	Comedy	Mark Salzman	Hangcheng Dong	Xihong Jiang	Shirley Sun	0.0	0.0	Le fer et la soie	0.0	0.0	0.0
2006	22.69911504424777	consumed jealousy woman takes extreme step undergoes surgery new face although lover 2 years misses falls love new face knowing 's woman	Drama	Ha Jung-woo	Park Ji-yeon	Baek Gwang-Doo	Kim Ki-duk	0.0	0.0	Time	0.0	0.0	0.0
2018	25.56637168141589	1984 young programmer begins question reality adapts dark fantasy novel video game mind - bending tale multiple endings	Drama	Fionn Whitehead	Craig Parkinson	Alice Lowe	David Slade	0.0	0.0	Black Mirror: Bandersnatch	0.0	3.0	0.0
2020	26.0442477876106	jonny visits father nikitas cabin woods 20 years hermit ignores prevent muddy ground pulled feet reasons profit father son must dig deep ...	Drama	Vangelis Mourikis	Argyris Pandazaras	Sofia Kokkali	Georgis Grigorakis	1.0	0.0	Digger	0.0	0.0	0.0
1984	17.442477876106132	familiar story lieutenant bligh whose cruelty leads mutiny ship version follows efforts fletcher christian get men beyond reach british retribution epic voyage lieutenant bligh get loyalists safely east timor tiny lifeboat	Adventure	Mel Gibson	Anthony Hopkins	Laurence Olivier	Roger Donaldson	0.0	0.0	Le Bounty	0.0	0.0	0.0
2018	25.56637168141589	stevie sweet 13 - year - old explode mom loving attentive little forthcoming romantic life big brother taciturn violent bully stevie searches working - class los angeles suburb somewhere belong finds motor avenue skate shop	Comedy	Sunny Suljic	Katherine Waterston	Lucas Hedges	Jonah Hill	0.0	0.0	90's	0.0	0.0	0.0
2013	24.37168141592918	four navy seals covert mission neutralize high - level taliban operative must make impossible moral decision mountains afghanistan leads enemy ambush confront unthinkable odds seals must find reserves strength resilience fight finish	Action	Mark Wahlberg	Taylor Kitsch	Emile Hirsch	Peter Berg	0.0	0.0	Du sang et des larmes	0.0	0.0	0.0
2017	25.32743362831858	sierras southern brazil 1963 . son french man brazilian woman tony young man profound love cinema poetry graduating college returns small town rural brazil find father left good back france tony looks company fathers friends search information references lost male role - model becomes school teacher male figure kids attempt provide something lacks series developments lead surprising final lead fathers ' whereabouts reasons leaving	Drama	Vincent Cassel	Selton Mello	Bruna Linzmeyer	Selton Mello	0.0	0.0	Le Film de ma vie	0.0	0.0	0.0
2006	22.69911504424777	lovable goon munna falls morning radio host name jahnvi also runs elders ' home unscrupulous builder seeks attain order gain jahnvi attention cheats way winning mahatma gandhi radio quiz jahnvi consequently expresses interest munna best friend circuit attempt keep facade	Comedy	Sanjay Dutt	Arshad Warsi	Vidya Balan	Rajkumar Hirani	0.0	0.0	Lage Raho Munna Bhai	0.0	0.0	0.0
1959	11.469026548672488	italy 1916 . oreste jacovacci giovanni busacca called italian youths serve army wwi try every way avoid serving army	Comedy	Alberto Sordi	Vittorio Gassman	Bernard Blier	Mario Monicelli	0.0	0.0	La grande guerre	0.0	0.0	0.0
1998	20.787610619468957	upon return ` ` life '' spawn seeks wanda apparently got grief lost al married another man al 's best friend terry fitzgerald seemingly daughter cyan terry respectable man works man named jason wynn wynn black - market arms dealer amongst things head certain government organizations one dispatched al team vietnam revealed man responsible death al simmons due disagreement two jason 's actions would also prove dangerous lives terry wanda daughter well realizing longer man wanda 's life al swears protect new family	Action	Keith David	Richard Dysart	Dominique Jennings	Thomas A. Nelson	1.0	0.0	Todd McFarlane's Spawn 2	1.0	0.0	0.0
1997	20.548672566371653	austrian mountaineer heinrich harrer journeys himalayas without family head expedition 1939 . world war ii breaks arrogant harrer falls allied forces ' hands prisoner war escapes fellow detainee makes way llaso tibet meets 14 - year - old dalai lama whose friendship ultimately transforms outlook life	Adventure	Brad Pitt	David Thewlis	BD Wong	Jean-Jacques Annaud	0.0	0.0	Sept ans au Tibet	0.0	0.0	0.0
2016	25.088495575221188	man steals brother 's boat property dispute	Comedy	Dayahang Rai	Maotse Gurung	Menuka Pradhan	Ram Babu Gurung	0.0	-1.0	Vieux Bateau	0.0	0.0	0.0
1992	19.353982300884944	jack sally announce 're splitting comes shock best friends gabe judy maybe mostly also drifting apart made aware jack sally try go meet new people marriage gabe judy gets strained begin find attracted people	Comedy	Woody Allen	Mia Farrow	Sydney Pollack	Woody Allen	0.0	-1.0	Maris et femmes	0.0	0.0	0.0
1979	16.247787610619422	based play name aleksandr volodin ` ` five evenings '' end 1950s aleksandr petrovich ilyin travels city lived war visiting telephone operator zoya sees familiar house window decides go fifteen minutes aleksandr gets communal apartment love youth tamara vasilyevna lives met twenty years ago fell love war separated ilyin tamara vasilyevna met love broke renewed vigor ...	Drama	Lyudmila Gurchenko	Stanislav Lyubshin	Valentina Telichkina	Nikita Mikhalkov	0.0	0.0	Cinq soirées	0.0	0.0	0.0
1962	12.18584070796459	true story frightening lonely world silence darkness 7 - year - old helen keller since infancy never seen sky heard mother 's voice expressed innermost feelings annie sullivan 20 - year - old teacher boston arrives recently regained sight no - nonsense annie reaches helen power touch tool common leads bold pupil miraculous journey fear isolation happiness light	Biography	Anne Bancroft	Patty Duke	Victor Jory	Arthur Penn	0.0	0.0	Miracle en Alabama	0.0	0.0	0.0
2014	24.61061946902649	two seemingly unconnected souls different corners united states make telepathic bond allows see hear feel 's experiences creating bond apparently ca n't broken	Fantasy	Michael Stahl-David	Zoe Kazan	Mark Feuerstein	Brin Hill	-1.0	0.0	In Your Eyes	0.0	1.0	0.0
2007	22.938053097345072	small egyptian police band travels israel play inaugural ceremony arab arts center find stuck wrong town	Comedy	Sasson Gabay	Ronit Elkabetz	Saleh Bakri	Eran Kolirin	0.0	0.0	La visite de la fanfare	0.0	0.0	0.0
1930	4.539823008849533	prim professor immanuel rath finds students ogling racy photos cabaret performer lola lola visits local club blue angel attempt catch seeing lola perform teacher filled lust eventually resigning position school marry young woman however marriage coquette -- whose job entice men -- proves difficult rath imagined	Drama	Emil Jannings	Marlene Dietrich	Kurt Gerron	Josef von Sternberg	0.0	0.0	L'ange bleu	0.0	0.0	0.0
1927	3.8230088495575267	1776 inventor conceals polish nobleman chess - playing automaton machine whose fame leads court russian empress	Drama	Pierre Blanchar	Charles Dullin	Édith Jéhanne	Raymond Bernard	0.0	0.0	Le joueur d'échecs	0.0	0.0	0.0
2011	23.89380530973448	driver skilled hollywood stuntman moonlights getaway driver criminals though projects icy exterior lately 's warming pretty neighbor named irene young son benicio irene 's husband gets jail enlists driver 's help million - dollar heist job goes horribly wrong driver must risk life protect irene benicio vengeful masterminds behind robbery	Action	Ryan Gosling	Carey Mulligan	Bryan Cranston	Nicolas Winding Refn	1.0	0.0	Drive	0.0	1.0	0.0
1963	12.42477876106189	detective charge investigating series bank robberies starts get close culprits set blackmail scheme warn crooks begin fall police learn truth	Crime	Nigel Patrick	Margaret Whiting	Katherine Woodville	Ken Annakin	0.0	0.0	L'indic	0.0	0.0	0.0
2016	25.088495575221188	two physically handicapped youngsters make friends paralysed hitman commissioned local mafia boss little lose although things never first appear boundaries fantasy reality blur unlikely heroes stumble one close encounter next gain unusual insight lives periphery society	Action	Zoltán Fenyvesi	Szabolcs Thuróczy	Ádám Fekete	Attila Till	0.0	0.0	Roues libres	0.0	0.0	0.0
2000	21.26548672566366	hanoi comes across almost picture - perfect director tran anh hung 's beautiful elegiac tale lives loves three vietnamese sisters mood characteristic hung 's films set early vivid sounds birds insects water way lighting enhances subtle use color combine gem - like effect	Drama	Nu Yên-Khê Tran	Quynh Nhu	Khanh Le	Anh Hung Tran	0.0	0.0	À la verticale de l'été	0.0	0.0	0.0
2012	24.132743362831782	10 women seven belonging poorest population desperately trying win beauty contest mothers 3 children winner get apartment $ 25000	Comedy	Ia Sukhitashvili	Gia Roinishvili	Olga Legrand	Rusudan Chkonia	1.0	-1.0	Keep Smiling	0.0	0.0	0.0
2009	23.415929203539775	sayra honduran teen hungers better life chance one comes reunited long - estranged father intends emigrate mexico enter united states sayra 's life collides pair mexican gangmembers boarded american - bound train	Adventure	Paulina Gaitan	Marco Antonio Aguirre	Leonardo Alonso	Cary Joji Fukunaga	-1.0	0.0	Sin nombre	0.0	1.0	0.0
2015	24.849557522123884	horror 1944 auschwitz prisoner forced burn corpses people finds moral survival trying save flames body boy takes son	Drama	Géza Röhrig	Levente Molnár	Urs Rechn	László Nemes	0.0	0.0	Le fils de Saul	0.0	1.0	0.0
2013	24.37168141592918	suffering father 's departure big city boy leaves village discovers fantastic world dominated bug - engines strange beings unusual animation various artistic techniques portrays issues modern world eyes child	Adventure	Vinicius Garcia	Marco Aurélio Campos	Lu Horta	Alê Abreu	0.0	0.0	Le garçon et le monde	0.0	0.0	0.0
1962	12.18584070796459	retelling june 6 1944 perspectives germans us british canadians free french marshall erwin rommel touring defenses established part reich 's atlantic wall notes officers allied invasion comes must stopped beach ` ` allies well germans longest day ''	Action	John Wayne	Robert Ryan	Richard Burton	Ken Annakin	0.0	1.0	Le Jour le plus long	0.0	0.0	0.0
1983	17.20353982300883	adaptation dostoyevsky 's novel updated present - day helsinki slaughterhouse worker rahikainen murders man forced live consequences actions ...	Crime	Markku Toikka	Aino Seppo	Esko Nikkari	Aki Kaurismäki	0.0	0.0	Crime et châtiment	0.0	0.0	0.0
1996	20.309734513274254	small conservative scottish village woman 's paralytic husband convinces extramarital intercourse tell give reason living	Drama	Emily Watson	Stellan Skarsgård	Katrin Cartlidge	Lars von Trier	0.0	0.0	Breaking the Waves	0.0	0.0	0.0
1921	2.389380530973418	free adaptation shakespeare′s drama danish queen masquerades daughter boy thus girl lives whole life prince hamlet	Drama	Asta Nielsen	Paul Conradi	Mathilde Brandt	Svend Gade	0.0	0.0	Hamlet	0.0	0.0	0.0
2006	22.69911504424777	9 - year - old girl weathers big changes household parents become radical political activists 1970 - 71 paris	Drama	Nina Kervel-Bey	Julie Depardieu	Stefano Accorsi	Julie Gavras	1.0	0.0	La faute à Fidel!	0.0	0.0	0.0
1944	7.88495575221236	strength couple 's fascination airplanes flight detriment family	Drama	Madeleine Renaud	Charles Vanel	Jean Debucourt	Jean Grémillon	0.0	0.0	Le ciel est à vous	0.0	0.0	0.0
1955	10.513274336283175	albin skoda embodies frantic adolf hitler last days scrambling keep third reich alive morale within bunker wanes berlin encircled enemy troops based michael a. musmanno 's book ten days die oscar werner costars fictional nazi hauptmann wüst disillusioned middleman	Drama	Albin Skoda	Oskar Werner	Lotte Tobisch	Georg Wilhelm Pabst	0.0	0.0	La fin d'Hitler	0.0	0.0	0.0
1996	20.309734513274254	bruce macdonald follows punk bank hard core logo harrowing last - gasp reunion tour throughout western canada magnetic lead - singer joe dick holds whole magilla together sheer force tensions pitfalls life road come bubbling surface	Comedy	Hugh Dillon	Callum Keith Rennie	John Pyper-Ferguson	Bruce McDonald	0.0	0.0	Hard Core Logo: La dernière chance	0.0	0.0	0.0
2011	23.89380530973448	sinful martial arts expert wants start new tranquil life hunted determined detective former master	Action	Donnie Yen	Takeshi Kaneshiro	Tang Wei	Peter Ho-Sun Chan	-1.0	0.0	Swordsmen	0.0	1.0	0.0
2017	25.32743362831858	shortly inter - high kagami kuroko 's second - year street basketball team usa called team jabberwock came japan play friendly match japanese college - level street basketball team team strky despite best efforts strky brutally crushed jabberwock match jabberwock players insult players strky japanese basketball claiming strky 's basketball level monkeys telling players crowds quit playing basketball kill revenge match kagetora assembles dream team members generation miracles plus kuroko tetsuya kagami taiga along bench players hyūga junpei takao kazunari wakamatsu kōsuke forming team vorpal swords hopes reclaiming pride japanese basketball	Animation	Jon Allen	Tommy Arciniega	Brian Beacock	Shunsuke Tada	0.0	0.0	Kuroko's Basket: Last Game	0.0	0.0	0.0
1990	18.87610619469024	cinema ` ` liberty '' takes place screening film ` ` daybreak '' screening interrupted unusual event actors come life screen start conversations among draw audience crowds gather around cinema relevant authorities services wonder complicated situation also arriving censor man reaching fifties one - time literary critic journalist line fiction reality begins blur ...	Comedy	Janusz Gajos	Zbigniew Zamachowski	Teresa Marczewska	Wojciech Marczewski	0.0	0.0	L'évasion du cinéma liberté	0.0	0.0	0.0
1990	18.87610619469024	famed swordsman poet cyrano de bergerac love cousin roxane never expressed love large nose undermines self - confidence finds way express love indirectly	Comedy	Gérard Depardieu	Anne Brochet	Vincent Perez	Jean-Paul Rappeneau	0.0	1.0	Cyrano de Bergerac	0.0	0.0	0.0
2020	26.0442477876106	jan married gedda 35 years gedda loves jan much smothers grab glass table already given one picks clothing friends vacations activities attempt get space jan concocts strange plan literally transforms marriage locked ward daughter finds similar predicament exacting jealous boyfriend	Comedy	Herman Finkers	Johanna ter Steege	Leonie ter Braak	Johan Nijenhuis	0.0	0.0	De Beentjes van Sint-Hildegard	0.0	0.0	0.0
1962	12.18584070796459	eddie carbone brooklyn longshoreman unhappily married beatrice unconsciously love catherine niece raised childhood house come two brothers illegal immigrants marco rodolpho catherine falls love rudolpho eddie tormented unable admit even quasi - incestuous love reports illegal immigrants authorities	Drama	Raf Vallone	Maureen Stapleton	Carol Lawrence	Sidney Lumet	1.0	0.0	Vu du pont	0.0	0.0	0.0
1986	17.920353982300835	starting new job instructor new england school deaf james leeds meets sarah norman young deaf woman works school member custodial staff spite sarah 's withdrawn emotional state romance slowly develops pair	Drama	William Hurt	Marlee Matlin	Piper Laurie	Randa Haines	0.0	0.0	Les enfants du silence	0.0	0.0	0.0
2022	26.522123893805293	age 30 maanav peak acting career gets caught murder accusation turns life eccentric action thriller flees country vengeful politician hot heels	Action	Ayushmann Khurrana	Jaideep Ahlawat	Gautam Joglekar	Anirudh Iyer	0.0	0.0	An Action Hero	0.0	1.0	0.0
1974	15.053097345132713	wife murdered street punks pacifistic new york city architect becomes one - man vigilante squad prowling streets would - be muggers dark	Action	Charles Bronson	Hope Lange	Vincent Gardenia	Michael Winner	0.0	0.0	Un justicier dans la ville	0.0	0.0	0.0
2003	21.982300884955666	jack sparrow freewheeling 18th - century pirate quarrels rival pirate bent pillaging port royal governor 's daughter kidnapped sparrow decides help girl 's love save	Action	Johnny Depp	Geoffrey Rush	Orlando Bloom	Gore Verbinski	0.0	0.0	Pirates des Caraïbes : La Malédiction du Black Pearl	0.0	0.0	0.0
1981	16.725663716814125	story - within - a - story anna actress starring opposite mike period piece forbidden love respective characters sarah charles actors involved serious relationships passionate nature script leads off - camera love affair well attempting maintain composure professionalism anna mike struggle come terms infidelity	Drama	Meryl Streep	Jeremy Irons	Hilton McRae	Karel Reisz	0.0	0.0	La maîtresse du lieutenant français	0.0	0.0	0.0
2021	26.283185840707898	one ufo sighting another proves false beg money keep space - exploration magazine afloat messages tv static nevertheless tang zhijun continues believe alien life forms heads mountainous southwest china investigate watching mysterious online video accompanied drunk girl insomnia cynical staffer tang moment truth comes meet young poet village says contact aliens	Adventure	Haoyu Yang	Liya Ai	Qiming Jiang	Dashan Kong	0.0	0.0	Journey to the West	0.0	1.0	0.0
2017	25.32743362831858	progressive graduate student finds success sparks outrage interest battle rap thesis subject becomes competitive obsession	Comedy	Calum Worthy	Jackie Long	Rory Uphold	Joseph Kahn	0.0	0.0	Bodied	0.0	0.0	0.0
2019	25.805309734513195	inspired 2005 riots paris stéphane recent transplant impoverished suburb montfermeil joins local anti - crime squad working alongside unscrupulous colleagues chris gwada stéphane struggles maintain order amidst mounting tensions local gangs arrest turns unexpectedly violent three officers must reckon aftermath keep neighborhood spiraling control	Crime	Damien Bonnard	Alexis Manenti	Djebril Zonga	Ladj Ly	0.0	0.0	Les Misérables	0.0	1.0	0.0
2018	25.56637168141589	fresh university turkish young man literary aspirations returns home village father debt - ridden man gambling problem	Drama	Dogu Demirkol	Murat Cemcir	Bennu Yildirimlar	Nuri Bilge Ceylan	1.0	0.0	Le poirier sauvage	0.0	0.0	0.0
1965	12.902654867256597	agnes lonely teenage girl father befriend escaped convict named joseph arrives farm brittany france joseph develops attraction agnes father threatens break union	Drama	Melvyn Douglas	Patricia Gozzi	Dean Stockwell	John Guillermin	0.0	0.0	La fleur de l'âge	0.0	0.0	0.0
2000	21.26548672566366	chuck nolan top international manager fedex kelly ph.d . student love heading towards marriage chuck 's plane malaysia crashes sea terrible storm 's survivor finds marooned desolate island way escape chuck must find ways survive new home	Adventure	Tom Hanks	Helen Hunt	Paul Sanchez	Robert Zemeckis	-1.0	0.0	Seul au monde	0.0	0.0	0.0
1999	21.026548672566356	gabriel young aspiring musical composer whose life seems stuck first act new musical number gets critical reception theatre colleague perry tells gabriel needs get life write one – heads straight local gay bar	Comedy	Christian Campbell	John Paul Pitoc	Brad Beyer	Jim Fall	0.0	0.0	Trick	0.0	0.0	0.0
2010	23.654867256637175	bahia benmahmoud free - spirited young woman particular way seeing political engagement n't hesitate sleep n't agree convert cause lot people right - leaning people concerned generally works pretty well day meets arthur martin discreet forty - something n't like taking risks imagines name like 's got slightly fascist names deceitful appearances deceiving	Comedy	Sara Forestier	Jacques Gamblin	Zinedine Soualem	Michel Leclerc	0.0	0.0	Le nom des gens	0.0	0.0	0.0
1960	11.707964601769888	film portrays lives members egyptian family three brothers sister nefeesa mother father death go different directions n't exactly good	Drama	Farid Shawqi	Omar Sharif	Amina Rizk	Salah Abouseif	0.0	0.0	Mort parmi les vivants	0.0	0.0	0.0
2011	23.89380530973448	accomplished headhunter risks everything obtain valuable painting owned former mercenary	Action	Aksel Hennie	Synnøve Macody Lund	Nikolaj Coster-Waldau	Morten Tyldum	1.0	0.0	Headhunters	0.0	1.0	0.0
2018	25.56637168141589	all - american football player 's dreams play nfl halted falsely accused rape sent prison	Biography	Aldis Hodge	Greg Kinnear	Sherri Shepherd	Tom Shadyac	0.0	0.0	Brian Banks	0.0	0.0	0.0
2003	21.982300884955666	impulsive boy named kenai magically transformed bear must literally walk another 's footsteps learns valuable life lessons courageous often zany journey introduces forest full wildlife including lovable bear cub koda hilarious moose rutt tuke woolly mammoths rambunctious rams	Adventure	Joaquin Phoenix	Jeremy Suarez	Rick Moranis	Aaron Blaise	0.0	0.0	Frère des ours	0.0	0.0	0.0
2022	26.522123893805293	amaia become mother decides return parents ' house along basque coast guidance partner temporarily away	Drama	Laia Costa	Susi Sánchez	Ramón Barea	Alauda Ruiz de Azúa	1.0	0.0	Lullaby	0.0	0.0	0.0
2008	23.176991150442472	angel selfish rotter hanging around local bar groping wife barman dealing weapons one morning wakes finding pair wings growing back wings good deeds nature suddenly finds fighting want wings dark plans	Animation	Mike Juarez	Carrie Keranen	Marc Diraison	Bill Plympton	0.0	1.0	Des idiots et des anges	0.0	0.0	0.0
1984	17.442477876106132	losing academic posts prestigious university team parapsychologists goes business proton - pack - toting ` ` ghostbusters '' exterminate ghouls hobgoblins supernatural pests stripes ad campaign pays knockout cellist hires squad purge swanky digs demons appear living refrigerator	Action	Bill Murray	Dan Aykroyd	Sigourney Weaver	Ivan Reitman	0.0	0.0	S.O.S. fantômes	0.0	0.0	0.0
1985	17.68141592920353	year alpine farm older couple two children belli wanted teacher younger franzi deaf although works like man child - like belli teaches work become frustrated throws expensive mower cliff fit pique father banishes outskirts farm uses pubescent energy break rocks build walls cairns 's tradition father 's family called ` ` irascibles '' neighbors spend puberty belli visits begin sleeping together winter boy back house belli pregnant soon parents must know	Drama	Thomas Nock	Johanna Lier	Dorothea Moritz	Fredi M. Murer	-1.0	0.0	L'Âme sœur	0.0	0.0	0.0
1947	8.601769911504366	magazine writer poses jew expose anti - semitism	Drama	Gregory Peck	Dorothy McGuire	John Garfield	Elia Kazan	0.0	0.0	Le mur invisible	0.0	0.0	0.0
1979	16.247787610619422	approaches manhood ben meechum struggles win approval demanding alpha male father aggressively competitive frustrated marine pilot	Drama	Robert Duvall	Blythe Danner	"""Michael OKeefe"""	Lewis John Carlino	0.0	0.0	The Great Santini	0.0	0.0	0.0
1975	15.292035398230016	occupied france wwii german officer murdered collaborationist vichy government decides pin murder six petty criminals loyal judges called convict quickly possible	Drama	Louis Seigner	Roland Bertin	Michael Lonsdale	Costa-Gavras	0.0	0.0	Section spéciale	0.0	0.0	0.0
1971	14.336283185840706	ku shen chai artist early 30s still lives mother suddenly shaken arrival yang hui - ching mysterious princess run yang brings ku circle protectors including nameless monk whose spiritual guidance transforms valiant fighter	Action	Feng Hsu	Chun Shih	Ying Bai	King Hu	0.0	0.0	Les héroïques	0.0	0.0	0.0
